filepath,class,start_time,end_time
../ibc53/Alexandrine_Parakeet/3.wav,Alexandrine_Parakeet,0,3.0
../ibc53/Alexandrine_Parakeet/3.wav,Alexandrine_Parakeet,3.0,6.0
../ibc53/Alexandrine_Parakeet/3.wav,Alexandrine_Parakeet,6.0,9.0
../ibc53/Alexandrine_Parakeet/3.wav,Alexandrine_Parakeet,9.0,12.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,0,3.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,3.0,6.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,6.0,9.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,9.0,12.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,12.0,15.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,15.0,18.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,18.0,21.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,21.0,24.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,24.0,27.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,27.0,30.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,30.0,33.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,33.0,36.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,36.0,39.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,39.0,42.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,42.0,45.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,45.0,48.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,48.0,51.0
../ibc53/Alexandrine_Parakeet/5.wav,Alexandrine_Parakeet,51.0,54.0
../ibc53/Alexandrine_Parakeet/18.wav,Alexandrine_Parakeet,0,3.0
../ibc53/Alexandrine_Parakeet/18.wav,Alexandrine_Parakeet,3.0,6.0
../ibc53/Alexandrine_Parakeet/18.wav,Alexandrine_Parakeet,6.0,9.0
../ibc53/Alexandrine_Parakeet/18.wav,Alexandrine_Parakeet,9.0,12.0
../ibc53/Alexandrine_Parakeet/18.wav,Alexandrine_Parakeet,12.0,15.0
../ibc53/Alexandrine_Parakeet/18.wav,Alexandrine_Parakeet,15.0,18.0
../ibc53/Alexandrine_Parakeet/7.wav,Alexandrine_Parakeet,0,3.0
../ibc53/Alexandrine_Parakeet/7.wav,Alexandrine_Parakeet,3.0,6.0
